Students	800
1	12 36 46 69
2	78 58 2 37
3	2 12 53 18
4	4 57 49 24
5	64 69 8 49
6	61 37 73 5
7	17 22 18 71
8	3 71 49 59
9	45 73 10 47
10	33 62 4 18
11	22 13 80 25
12	21 6 33 9
13	59 75 54 39
14	31 42 14 4
15	62 25 65 69
16	5 15 38 61
17	66 5 58 70
18	22 8 34 45
19	27 40 41 67
20	41 40 76 33
21	70 20 44 38
22	4 33 25 16
23	67 48 15 10
24	35 24 69 53
25	10 72 73 75
26	5 39 62 7
27	53 2 13 41
28	16 15 68 63
29	35 30 57 26
30	26 28 44 74
31	40 3 60 58
32	75 57 43 39
33	36 26 3 22
34	35 14 2 31
35	29 16 1 40
36	70 68 22 65
37	38 11 47 30
38	30 34 49 40
39	1 39 72 17
40	55 1 45 79
41	8 57 70 4
42	4 73 68 10
43	16 51 70 80
44	61 63 48 18
45	36 74 20 13
46	33 12 11 23
47	36 40 10 62
48	1 37 78 61
49	51 71 33 35
50	71 72 50 75
51	76 11 26 61
52	51 40 8 45
53	57 75 25 56
54	38 71 72 79
55	69 15 53 50
56	42 68 37 14
57	43 12 9 14
58	38 67 41 12
59	70 48 68 11
60	58 32 79 12
61	2 7 71 80
62	76 51 13 19
63	2 3 66 64
64	53 43 6 41
65	67 58 8 76
66	7 64 59 56
67	78 38 45 59
68	69 27 71 35
69	38 36 7 62
70	6 58 74 69
71	19 14 71 64
72	25 11 52 49
73	48 1 80 46
74	13 35 66 7
75	25 54 65 7
76	56 29 66 3
77	46 47 2 11
78	52 48 27 68
79	80 1 29 30
80	41 5 31 48
81	2 56 22 54
82	22 4 54 12
83	44 54 71 40
84	39 25 51 35
85	62 18 15 75
86	72 78 18 8
87	32 63 33 79
88	24 80 44 10
89	16 31 65 8
90	49 25 75 24
91	5 23 33 67
92	32 34 29 50
93	74 40 48 57
94	40 9 18 68
95	2 50 27 37
96	33 15 62 8
97	44 16 47 40
98	56 57 64 1
99	26 29 24 32
100	14 15 3 40
101	39 6 17 56
102	75 21 45 19
103	42 15 58 78
104	54 53 70 14
105	46 21 73 27
106	61 44 72 16
107	60 55 36 66
108	60 76 40 29
109	60 21 19 10
110	9 29 57 58
111	48 26 22 14
112	10 13 40 15
113	18 55 80 19
114	3 63 50 37
115	41 28 26 27
116	64 69 54 27
117	11 39 38 35
118	72 75 33 45
119	27 26 51 68
120	17 41 5 18
121	61 79 65 48
122	74 38 76 59
123	74 32 52 68
124	33 67 17 21
125	48 21 75 76
126	47 41 42 62
127	16 12 17 15
128	80 34 52 79
129	37 52 35 17
130	51 22 24 36
131	39 3 28 47
132	50 59 29 57
133	39 17 77 20
134	37 55 44 42
135	5 12 56 33
136	80 69 3 58
137	64 53 79 16
138	34 17 36 1
139	73 70 17 36
140	62 65 9 54
141	18 64 30 68
142	61 28 35 44
143	41 19 74 31
144	49 65 76 41
145	10 58 21 20
146	48 51 58 34
147	72 47 49 60
148	52 64 76 18
149	19 2 47 34
150	47 27 35 60
151	69 25 9 23
152	31 70 63 41
153	13 31 27 72
154	40 2 28 63
155	28 8 55 51
156	36 37 20 6
157	19 75 62 40
158	55 3 7 79
159	79 44 50 16
160	41 70 34 49
161	23 59 18 66
162	33 58 19 23
163	24 35 75 38
164	8 60 12 72
165	42 23 79 57
166	30 71 75 63
167	1 53 69 40
168	18 32 80 31
169	32 56 66 14
170	72 61 64 69
171	44 64 33 77
172	70 12 9 26
173	41 20 50 78
174	59 50 15 14
175	43 75 26 6
176	5 10 60 24
177	51 19 46 56
178	31 51 21 29
179	3 62 7 37
180	67 14 34 43
181	38 27 64 62
182	28 60 18 16
183	61 56 77 49
184	26 52 71 56
185	67 6 13 22
186	61 49 70 44
187	34 2 80 45
188	76 44 24 61
189	16 77 80 79
190	25 66 14 45
191	10 41 55 64
192	23 4 39 12
193	1 28 61 22
194	29 6 45 44
195	27 13 49 64
196	10 34 2 38
197	79 21 60 70
198	61 73 19 80
199	68 55 20 43
200	62 76 44 33
201	36 49 50 21
202	60 22 39 15
203	69 11 74 60
204	64 23 49 39
205	31 43 34 53
206	56 70 8 58
207	77 55 18 6
208	33 32 72 63
209	70 79 44 3
210	17 3 59 60
211	48 67 9 45
212	80 49 55 31
213	73 14 18 21
214	67 13 48 24
215	57 26 16 12
216	33 61 69 3
217	27 5 77 73
218	59 47 63 1
219	18 24 33 57
220	26 61 77 20
221	27 39 62 37
222	73 21 68 25
223	65 63 1 26
224	32 27 12 38
225	62 49 28 74
226	53 21 76 24
227	15 11 19 12
228	55 58 53 45
229	23 4 38 73
230	45 17 24 76
231	23 41 9 62
232	50 10 32 37
233	63 43 28 37
234	75 12 45 21
235	77 13 41 63
236	16 13 15 11
237	10 72 44 64
238	3 37 76 20
239	11 46 78 58
240	71 31 43 23
241	42 5 2 32
242	32 71 79 73
243	45 26 13 68
244	5 15 79 29
245	26 8 47 60
246	15 49 46 80
247	10 9 41 35
248	75 59 14 8
249	37 22 67 10
250	66 69 23 27
251	57 53 38 18
252	49 57 16 12
253	3 58 35 72
254	23 29 37 1
255	27 26 33 46
256	53 11 66 5
257	45 24 60 3
258	47 61 28 9
259	15 8 75 68
260	16 36 5 26
261	1 38 62 46
262	22 49 68 70
263	32 58 23 24
264	62 66 6 22
265	64 15 51 5
266	2 28 10 50
267	37 32 39 55
268	9 3 32 68
269	35 24 74 61
270	77 37 66 73
271	45 17 24 37
272	50 34 78 9
273	61 57 47 2
274	15 48 68 5
275	30 33 21 10
276	2 51 16 27
277	50 57 18 16
278	49 45 78 47
279	78 7 21 20
280	46 27 34 10
281	58 72 76 78
282	10 24 53 37
283	67 73 47 4
284	61 11 25 43
285	80 58 22 6
286	45 22 64 17
287	23 76 20 60
288	48 5 74 38
289	31 52 42 19
290	74 33 13 59
291	59 80 77 45
292	61 67 54 21
293	19 63 7 68
294	16 32 36 48
295	8 40 66 78
296	4 16 12 65
297	74 44 49 2
298	4 75 38 58
299	41 38 58 45
300	29 61 64 67
301	11 24 12 65
302	54 3 8 63
303	61 63 13 47
304	27 52 12 78
305	72 25 79 71
306	34 55 28 49
307	50 32 76 11
308	71 27 63 38
309	21 70 46 68
310	52 49 2 66
311	43 60 13 68
312	49 41 12 5
313	1 80 44 21
314	24 79 71 14
315	55 13 1 47
316	6 41 23 29
317	21 3 80 47
318	9 53 16 37
319	54 68 3 59
320	42 63 21 56
321	48 27 6 51
322	12 32 30 35
323	68 6 26 41
324	8 11 6 53
325	65 27 35 56
326	50 22 58 53
327	33 13 37 63
328	10 51 36 44
329	1 54 13 51
330	45 4 62 64
331	68 2 40 36
332	13 43 49 20
333	60 22 62 57
334	22 65 59 9
335	44 72 56 64
336	10 32 31 53
337	80 19 4 79
338	48 21 61 35
339	78 54 13 76
340	33 18 79 75
341	26 7 14 17
342	38 40 58 9
343	16 51 7 33
344	66 60 50 12
345	24 51 50 42
346	50 33 48 29
347	61 6 25 60
348	73 76 39 25
349	45 68 17 8
350	19 50 49 48
351	68 80 70 37
352	42 45 46 18
353	11 21 25 79
354	41 35 19 66
355	80 8 65 61
356	67 30 29 31
357	80 5 49 64
358	37 75 69 64
359	10 50 27 42
360	6 41 34 67
361	11 62 55 72
362	14 40 70 27
363	63 22 66 47
364	60 37 8 24
365	10 11 30 59
366	38 72 57 75
367	1 17 69 75
368	18 11 31 53
369	26 74 21 64
370	14 78 46 73
371	65 80 74 70
372	36 7 17 10
373	65 27 58 73
374	37 1 77 19
375	28 13 61 42
376	73 42 5 26
377	63 2 34 12
378	5 24 63 10
379	45 78 4 28
380	53 79 64 45
381	55 52 58 50
382	77 72 56 64
383	69 49 55 20
384	32 31 73 7
385	41 6 32 58
386	40 30 77 57
387	61 20 37 5
388	71 44 32 79
389	59 10 20 29
390	6 26 53 11
391	7 3 79 38
392	57 23 5 46
393	72 21 43 30
394	3 21 43 1
395	34 60 76 25
396	40 16 38 31
397	4 71 24 31
398	70 33 52 41
399	21 77 76 23
400	38 21 15 66
401	10 80 16 33
402	4 77 10 44
403	67 25 72 48
404	12 58 3 43
405	59 7 9 60
406	70 1 16 67
407	70 11 49 77
408	68 29 43 22
409	77 40 76 55
410	29 32 20 59
411	19 64 68 52
412	25 9 29 1
413	49 46 72 37
414	78 75 60 6
415	21 50 8 31
416	59 65 27 55
417	30 51 80 22
418	15 79 72 60
419	32 49 4 56
420	28 46 52 49
421	42 4 10 40
422	33 45 77 46
423	77 42 62 76
424	77 31 66 37
425	12 44 28 68
426	37 73 28 65
427	68 77 20 14
428	75 7 72 43
429	68 48 20 35
430	80 18 2 51
431	7 38 23 51
432	68 55 29 20
433	51 78 3 77
434	56 29 39 17
435	63 4 34 48
436	67 78 49 71
437	36 68 63 48
438	44 27 23 78
439	17 28 69 26
440	79 5 61 56
441	1 59 31 48
442	71 40 70 59
443	11 71 18 75
444	50 23 49 74
445	44 75 29 16
446	50 19 30 18
447	64 70 54 27
448	33 11 1 68
449	30 56 40 37
450	71 55 17 4
451	12 15 34 29
452	68 12 46 5
453	67 60 27 76
454	9 56 60 24
455	53 11 36 13
456	15 57 3 55
457	27 21 54 42
458	42 60 79 10
459	6 72 38 71
460	56 35 44 6
461	15 28 6 5
462	3 24 42 10
463	60 21 42 17
464	46 52 17 68
465	4 69 12 18
466	69 35 28 31
467	51 26 53 40
468	58 31 45 14
469	68 12 75 57
470	52 13 12 24
471	68 19 52 34
472	45 51 57 63
473	53 79 47 39
474	58 34 16 57
475	30 63 53 46
476	26 1 42 10
477	72 75 39 71
478	55 69 5 74
479	45 77 31 13
480	42 68 77 43
481	68 62 9 65
482	57 66 44 51
483	20 38 73 75
484	59 48 35 30
485	17 58 48 20
486	6 12 68 69
487	63 60 43 79
488	47 75 65 55
489	26 61 47 58
490	69 58 48 28
491	16 19 14 73
492	72 69 39 37
493	29 6 78 61
494	64 69 30 7
495	32 67 5 56
496	13 74 50 75
497	30 35 43 13
498	61 7 78 76
499	4 50 79 6
500	67 12 33 26
501	13 28 47 51
502	27 47 23 39
503	44 46 9 27
504	19 35 5 67
505	27 67 17 35
506	35 64 59 38
507	23 54 27 78
508	72 29 64 9
509	6 34 42 61
510	4 46 49 58
511	5 47 40 28
512	62 66 3 14
513	21 68 26 3
514	36 6 53 16
515	23 5 11 40
516	41 70 55 59
517	17 58 44 26
518	27 67 47 41
519	35 25 56 70
520	49 8 34 18
521	63 74 1 76
522	10 55 24 3
523	1 26 67 11
524	4 80 23 60
525	9 31 45 47
526	63 33 30 36
527	77 22 6 64
528	3 1 9 39
529	1 69 20 14
530	25 14 71 56
531	66 72 68 28
532	43 31 9 11
533	62 26 76 66
534	16 80 68 3
535	26 14 30 49
536	6 44 76 56
537	15 3 29 12
538	9 51 24 74
539	40 49 34 67
540	17 40 2 69
541	25 33 10 15
542	10 40 63 5
543	32 17 37 80
544	5 62 51 10
545	4 64 6 28
546	16 14 7 68
547	54 28 66 33
548	39 14 79 15
549	25 28 40 3
550	68 70 21 57
551	4 30 45 49
552	34 57 23 46
553	60 62 72 58
554	75 12 54 68
555	47 31 6 34
556	80 14 35 65
557	12 59 53 67
558	64 34 20 44
559	14 44 42 6
560	28 2 70 12
561	78 61 46 29
562	51 28 10 58
563	53 73 75 64
564	49 71 44 53
565	51 20 52 68
566	56 78 2 79
567	7 61 33 78
568	44 23 76 18
569	25 27 34 5
570	47 6 66 71
571	15 43 38 34
572	69 30 33 23
573	58 1 59 42
574	27 79 71 59
575	72 46 63 47
576	50 38 2 9
577	68 32 9 20
578	51 53 68 10
579	72 69 19 32
580	37 47 11 59
581	25 36 64 45
582	80 72 15 27
583	60 20 11 61
584	6 68 72 46
585	46 64 38 63
586	15 37 66 72
587	65 57 72 21
588	74 29 48 67
589	22 65 67 47
590	76 48 75 1
591	73 80 67 68
592	62 25 17 54
593	66 52 10 57
594	41 38 77 34
595	1 30 73 17
596	47 61 58 6
597	15 64 46 66
598	45 52 68 69
599	46 29 68 77
600	66 16 72 52
601	4 32 24 54
602	52 1 58 39
603	32 52 12 4
604	49 19 72 41
605	18 32 14 35
606	17 73 50 51
607	31 70 24 49
608	61 56 47 37
609	11 26 74 32
610	51 13 77 59
611	5 54 19 38
612	9 67 66 58
