Students	500
1	40 46 43 11
2	21 41 45 13
3	48 50 18 4
4	41 36 12 13
5	48 12 47 7
6	38 33 2 23
7	36 43 16 7
8	23 29 6 30
9	12 18 32 16
10	31 42 13 49
11	4 45 16 2
12	48 41 31 44
13	34 6 40 33
14	34 15 13 45
15	23 37 10 18
16	27 33 47 44
17	15 8 3 36
18	47 4 25 15
19	18 8 40 34
20	12 18 23 3
21	45 50 42 27
22	33 28 16 19
23	6 42 4 19
24	18 47 50 9
25	9 47 46 15
26	14 10 27 2
27	21 6 38 37
28	50 3 24 36
29	46 34 37 7
30	25 47 38 43
31	39 1 8 19
32	34 22 9 50
33	2 47 15 6
34	8 40 37 1
35	48 34 20 7
36	44 40 6 9
37	20 27 32 38
38	42 12 18 5
39	10 21 29 32
40	9 20 17 36
41	3 43 26 2
42	43 30 32 10
43	5 45 3 11
44	35 10 32 50
45	23 32 10 30
46	13 42 4 39
47	37 43 46 34
48	5 24 35 50
49	44 37 40 42
50	4 48 5 14
51	32 14 13 44
52	30 5 25 11
53	24 17 42 8
54	30 28 41 2
55	25 39 37 1
56	15 27 33 17
57	20 1 26 41
58	13 45 10 9
59	10 37 21 30
60	8 24 25 28
61	1 28 49 11
62	29 5 37 24
63	12 2 10 47
64	2 30 29 17
65	9 40 14 15
66	31 6 21 44
67	33 4 46 35
68	34 31 18 3
69	17 20 5 27
70	1 42 33 50
71	36 31 25 33
72	41 38 33 20
73	46 21 23 3
74	20 35 27 44
75	4 30 7 8
76	4 36 27 39
77	20 14 21 23
78	29 10 45 22
79	22 32 1 45
80	31 27 39 15
81	32 17 27 11
82	42 5 16 12
83	44 33 30 47
84	50 10 29 2
85	8 47 10 7
86	43 44 41 26
87	42 20 14 21
88	32 8 43 36
89	35 21 50 38
90	46 16 45 17
91	34 49 15 19
92	5 17 44 41
93	32 12 45 9
94	26 27 33 48
95	10 16 47 8
96	48 41 35 49
97	34 47 29 15
98	4 21 34 43
99	19 26 2 45
100	48 16 45 36
101	15 41 4 49
102	9 33 2 13
103	47 10 22 40
104	7 49 16 24
105	25 4 1 35
106	27 46 41 6
107	5 47 39 26
108	12 16 30 45
109	38 32 21 11
110	18 2 44 42
111	33 40 27 36
112	34 42 33 6
113	13 36 45 11
114	32 26 45 38
115	44 17 47 25
116	10 17 14 27
117	36 49 11 3
118	37 24 26 34
119	47 50 30 44
120	38 40 42 39
121	22 14 4 35
122	23 21 34 33
123	2 43 46 21
124	3 10 20 35
125	10 37 5 35
126	11 14 15 34
127	44 48 42 40
128	25 13 6 47
129	8 44 34 17
130	32 28 35 14
131	48 50 46 45
132	37 40 8 42
133	47 31 48 20
134	27 15 43 8
135	33 40 3 44
136	30 32 34 9
137	10 9 25 23
138	27 28 40 49
139	17 4 47 34
140	36 45 21 27
141	10 3 27 50
142	7 2 10 47
143	20 11 35 27
144	44 12 18 30
145	2 9 29 43
146	16 6 32 35
147	28 3 6 11
148	30 29 14 16
149	26 22 7 3
150	38 41 25 36
151	37 44 25 10
152	27 23 31 29
153	47 21 41 2
154	46 44 15 43
155	1 5 38 50
156	25 21 12 30
157	47 9 39 7
158	37 19 25 12
159	11 35 5 10
160	49 23 35 39
161	15 20 44 24
162	1 4 2 41
163	26 3 10 27
164	23 1 3 28
165	41 17 46 19
166	22 13 15 30
167	25 48 28 39
168	28 8 48 18
169	44 16 36 28
170	47 17 35 8
171	2 21 26 36
172	47 16 4 27
173	5 3 49 35
174	48 34 3 2
175	47 17 44 10
176	33 31 10 25
177	50 4 34 19
178	49 25 12 27
179	14 16 19 18
180	26 8 14 37
181	16 15 10 44
182	17 37 6 8
183	13 31 19 3
184	13 19 17 28
