Students	400
1	9 20 14 6
2	16 19 13 7
3	10 12 17 7
4	4 9 17 12
5	17 9 2 4
6	11 4 16 20
7	1 17 8 10
8	9 15 12 19
9	6 16 11 1
10	3 17 7 15
11	6 11 3 16
12	15 14 17 16
13	2 20 19 11
14	20 18 5 15
15	20 12 2 19
16	12 7 13 5
17	13 17 12 1
18	12 7 2 14
19	17 11 14 8
20	20 17 16 14
21	9 10 6 15
22	7 6 5 13
23	15 17 18 2
24	12 1 20 8
25	14 15 7 4
26	16 20 3 13
27	3 13 2 10
28	16 19 10 8
29	17 18 19 9
30	5 10 13 16
31	12 10 8 11
32	2 17 13 14
33	4 13 19 2
34	15 19 1 7
35	17 3 15 11
36	14 10 1 20
37	4 10 2 14
38	17 15 20 18
39	7 19 11 17
40	14 8 17 18
41	8 2 17 5
42	14 12 9 4
43	7 17 2 1
44	6 4 16 3
45	1 3 6 5
46	17 10 4 5
47	16 9 2 8
48	4 9 5 19
49	6 1 18 8
50	1 11 8 4
51	17 5 6 9
52	14 7 17 4
53	3 19 7 13
54	1 6 19 20
55	10 6 14 19
56	13 9 4 7
57	16 5 12 14
58	13 2 19 10
59	12 10 2 5
60	5 2 1 15
61	4 2 12 10
62	11 20 19 7
63	11 14 1 12
64	1 19 14 16
65	4 14 16 8
66	7 8 18 13
67	19 16 5 15
68	8 20 17 14
69	3 18 13 1
70	19 6 17 16
71	13 20 14 15
72	16 7 20 13
73	4 11 12 8
74	7 16 11 13
75	7 19 14 15
76	15 10 18 16
77	20 2 19 10
78	4 1 18 20
79	18 4 8 9
80	3 5 14 16
81	18 2 16 13
82	19 20 5 16
83	17 4 5 8
84	17 5 11 2
85	2 5 14 19
86	2 3 20 11
87	16 4 13 1
88	6 18 3 13
89	3 15 19 12
90	14 4 1 2
91	3 20 10 1
92	7 1 18 13
93	19 7 13 5
94	15 6 13 9
95	3 16 1 12
96	9 10 4 17
97	5 17 3 20
98	14 16 12 20
99	2 18 5 14
100	20 15 11 3
101	14 20 16 11
102	6 4 13 17
103	2 8 17 9
104	6 11 3 1
105	11 6 4 18
106	9 11 12 19
107	2 9 6 13
108	16 10 17 15
109	5 9 12 15
110	8 1 6 9
111	19 8 11 14
112	14 15 6 12
113	12 13 17 3
114	16 4 10 14
115	3 17 6 10
116	2 5 14 8
117	7 6 5 12
118	13 11 2 15
119	3 15 4 6
120	11 8 18 2
121	2 8 3 4
122	14 3 6 8
123	8 10 17 4
124	4 14 11 20
125	18 16 7 11
126	15 20 13 2
127	20 16 19 18
128	12 1 17 6
129	6 1 18 7
130	6 20 9 8
131	2 6 20 12
132	5 9 1 14
133	13 6 12 3
134	1 14 2 15
135	16 5 14 6
136	5 17 20 9
137	6 20 15 17
138	20 1 12 11
139	11 4 5 19
140	16 9 11 19
141	15 9 12 10
142	10 11 20 8
143	9 18 13 5
144	6 7 9 15
145	6 7 2 10
146	8 10 1 7
147	16 3 10 11
148	6 2 15 20
149	20 14 3 8
150	18 12 4 10
151	18 1 20 5
152	4 11 20 19
153	20 16 7 13
154	18 1 8 3
155	17 19 6 2
156	12 5 4 10
157	9 13 4 8
158	20 1 6 10
159	1 18 17 12
160	17 18 3 6
161	15 2 11 1
162	15 8 13 11
163	4 19 11 1
164	9 3 12 20
165	11 20 18 15
166	20 5 1 15
167	6 3 15 14
168	6 15 3 7
169	11 8 2 14
170	18 8 20 5
171	12 9 6 8
172	18 1 14 19
173	9 1 11 6
174	4 8 3 13
175	19 4 8 9
176	11 10 9 1
177	13 11 19 8
178	19 2 15 16
179	14 7 13 18
180	11 20 1 15
181	4 15 7 18
182	1 16 3 5
183	1 7 5 16
184	10 9 12 7
185	20 18 13 11
186	9 6 20 11
187	4 15 7 13
188	16 12 7 2
189	10 17 20 6
190	5 17 19 18
191	15 19 18 2
192	9 13 3 18
193	11 5 8 18
194	11 10 16 17
195	9 3 4 17
196	6 9 10 14
197	12 13 1 15
198	1 18 20 4
199	19 9 3 12
200	16 6 17 18
201	9 16 18 6
202	16 18 20 10
203	14 15 5 13
204	7 4 2 13
205	16 8 4 13
206	2 7 5 1
207	16 2 13 17
208	19 18 4 12
209	10 18 9 17
210	9 3 19 13
211	13 3 1 6
212	9 18 6 2
213	7 8 18 4
214	3 4 6 1
215	17 9 14 18
216	16 20 12 19
217	8 9 11 15
218	11 19 12 14
219	14 13 20 1
220	10 4 20 8
221	8 7 13 19
222	3 13 10 2
223	18 15 14 19
224	16 1 2 18
225	12 7 8 5
226	20 5 8 16
227	15 3 16 13
228	5 4 20 19
229	20 1 7 4
230	13 11 18 5
231	14 6 7 18
232	10 16 11 15
233	20 11 19 6
234	6 7 10 17
235	5 10 11 18
236	11 20 16 2
237	15 10 20 17
238	20 10 5 9
239	15 20 5 2
240	14 13 2 16
241	13 2 1 14
242	17 9 13 20
243	1 16 15 14
244	13 3 18 9
245	11 18 8 1
246	10 17 12 18
247	5 20 9 16
248	11 15 8 16
249	19 16 14 2
250	18 9 19 1
251	20 16 13 1
252	14 10 13 18
253	10 1 6 19
254	2 16 12 20
255	10 16 17 8
256	8 3 13 6
257	10 19 3 7
258	15 9 2 7
259	7 17 5 4
260	16 6 12 8
261	15 10 11 12
262	6 14 3 11
263	4 7 17 3
264	7 19 8 2
265	9 6 18 4
266	13 16 15 17
267	18 16 1 12
268	17 18 6 11
269	6 3 8 2
270	17 20 9 19
271	16 14 1 12
272	4 1 3 8
273	3 19 2 12
274	10 18 7 11
275	3 14 1 4
276	19 4 2 16
277	7 2 13 16
278	7 12 11 2
279	16 3 10 6
280	8 17 2 5
281	17 4 16 5
282	14 9 20 7
283	12 18 10 19
284	17 11 5 20
285	17 7 5 1
286	1 20 18 15
287	7 1 8 6
288	6 1 3 16
289	6 12 18 16
290	16 2 19 14
291	3 7 19 1
292	10 16 14 11
293	14 6 20 18
294	13 2 12 18
295	20 12 10 8
296	1 20 14 13
297	3 1 4 6
298	3 16 19 10
299	10 5 12 9
300	18 2 9 10
301	12 20 4 18
302	13 20 1 2
303	2 16 10 7
304	3 14 15 13
305	18 6 2 14
306	16 5 1 15
307	19 2 7 10
308	4 12 9 15
309	19 6 7 9
310	2 12 10 1
311	20 12 8 6
312	2 15 7 6
313	1 19 18 6
314	1 17 3 2
315	10 19 9 8
316	6 7 19 15
317	20 2 1 19
318	20 19 14 15
319	3 2 19 17
320	17 20 1 18
321	18 2 20 16
322	6 19 7 13
323	7 9 20 11
324	19 14 5 16
325	11 20 13 3
326	15 18 19 5
327	9 14 16 12
328	16 7 3 12
329	15 17 7 13
330	17 8 10 3
331	12 9 7 1
332	20 1 6 13
333	17 12 7 1
334	17 3 13 9
335	7 8 20 2
336	5 4 10 1
337	4 19 13 18
338	5 7 8 1
339	3 4 16 2
340	20 19 3 9
341	19 20 9 4
342	1 10 18 9
343	19 3 15 8
344	18 10 8 20
345	6 19 12 10
346	7 5 6 9
347	14 13 19 3
348	12 6 9 19
349	3 13 5 8
350	14 12 15 7
351	19 11 13 4
352	1 2 12 9
353	10 5 1 14
354	20 7 11 16
355	18 14 15 3
356	12 7 4 8
357	1 10 4 9
358	20 8 17 2
359	4 5 6 8
360	19 4 11 9
361	12 20 6 1
362	7 2 16 9
363	6 3 8 5
364	12 14 3 5
365	12 18 11 1
366	13 16 9 15
367	7 17 16 14
368	5 10 15 8
369	14 2 3 9
370	14 18 17 3
371	15 16 14 4
372	11 17 2 20
373	17 20 3 9
374	3 13 10 17
375	12 9 1 11
376	10 6 1 17
377	18 7 3 11
378	16 15 12 3
379	15 19 13 20
380	3 9 5 20
381	3 1 9 20
382	20 13 7 6
383	10 9 2 13
384	5 20 15 6
385	10 14 20 6
386	19 15 16 3
387	8 19 18 17
388	6 18 7 14
389	12 14 17 15
390	8 7 12 4
391	11 5 2 9
392	13 9 14 10
393	2 9 8 7
394	2 4 3 5
395	7 18 20 4
396	16 19 1 5
397	10 13 15 3
398	16 1 12 13
399	1 19 17 2
400	8 15 16 17
