Student,Course ID,Subject,College,Level,Section,Status,Stat Dt,Add Dt,Drop Dt,Unit Taken,Instructor ID,Start_1,Srt1 AM/PM,Dec Start Time,End 1,End 1 AMPM,Dec End Time,Days 1,Facil ID 1,Building 1,Room 1
1,692,COML,H,2,1,D,11/15/13,11/15/13,1/27/14,1,330,11:30:00 AM,11:30 AM,11.50,1:00:00 PM, 1:00 PM,13,T H,HLL6,HLL,6
1,111,PEAC,H,2,1,E,1/27/14,1/27/14,,1,153,11:30:00 AM,11:30 AM,11.50,1:00:00 PM, 1:00 PM,13,T H,HLS109,HLS,109
1,108,HIST,H,1,1,E,11/15/13,11/15/13,,1,105,10:00:00 AM,10:00 AM,10.00,11:30:00 AM,11:30 AM,11.5,T H,HLS109,HLS,109
1,445,POLS,H,1,1,D,11/15/13,11/15/13,1/26/14,1,88,2:30:00 PM, 2:30 PM,14.50,4:00:00 PM, 4:00 PM,16,M W,STO10,STO,10
1,359,CHEM,H,1,1,E,1/27/14,1/27/14,,1,137,9:30:00 AM, 9:30 AM,9.50,10:30:00 AM,10:30 AM,10.5,M W F,STOAUD,STO,AUD
1,714,ENGL,H,2,1,E,11/15/13,11/15/13,,1,67,2:30:00 PM, 2:30 PM,14.50,4:00:00 PM, 4:00 PM,16,T H,WDS,WDS,
1,359,CHEM,H,1,00D,E,1/29/14,1/29/14,,0,190,1:00:00 PM, 1:00 PM,13.00,4:00:00 PM, 4:00 PM,16,F,,,
1,359,CHEM,H,1,00B,D,11/15/13,11/15/13,1/21/14,0,190,1:00:00 PM, 1:00 PM,13.00,4:00:00 PM, 4:00 PM,16,W,,,
2,323,GERM,H,0,1,E,04-07-14,11/15/13,3/28/14,1,44,9:30:00 AM, 9:30 AM,9.50,10:30:00 AM,10:30 AM,10.5,M W F,GST102,GST,102
2,465,CMSC,B,1,1,E,04-07-14,11/15/13,3/28/14,1,51,2:25:00 PM, 2:25 PM,14.42,3:45:00 PM, 3:45 PM,15.8,T H,PK338,PK,338
2,209,POLS,H,1,1,E,04-07-14,11/15/13,3/28/14,1,230,10:00:00 AM,10:00 AM,10.00,11:30:00 AM,11:30 AM,11.5,T H,STO10,STO,10
2,192,BIOL,H,1,1,D,11/15/13,11/15/13,1/21/14,1,26,10:30:00 AM,10:30 AM,10.50,11:30:00 AM,11:30 AM,11.5,M W F,STO10,STO,10
2,483,ENGL,H,2,1,E,04-07-14,11/15/13,3/28/14,1,218,2:30:00 PM, 2:30 PM,14.50,4:00:00 PM, 4:00 PM,16,M W,WDS,WDS,
3,221,POLS,B,1,1,D,11/14/13,11/14/13,1/31/14,1,301,2:25:00 PM, 2:25 PM,14.42,3:45:00 PM, 3:45 PM,15.8,T H,DAL119,DAL,119
3,203,ARTW,B,1,1,E,11/14/13,11/14/13,,1,140,9:55:00 AM, 9:55 AM,9.92,11:15:00 AM,11:15 AM,11.3,T H,EHI,EH,I
3,476,WRPR,H,1,1,E,11/14/13,11/14/13,,1,254,1:00:00 PM, 1:00 PM,13.00,2:30:00 PM, 2:30 PM,14.5,M W,ESTW115,ESTW,115
3,549,PHIL,H,1,1,E,11/14/13,11/14/13,,1,77,11:30:00 AM,11:30 AM,11.50,1:00:00 PM, 1:00 PM,13,T H,GST101,GST,101
3,313,PSYC,H,1,2,E,11/14/13,11/14/13,,1,188,11:30:00 AM,11:30 AM,11.50,1:00:00 PM, 1:00 PM,13,M W,SHA410,SHA,410
4,98,SPAN,H,0,1,E,11-04-13,11-04-13,,1,4,9:30:00 AM, 9:30 AM,9.50,10:30:00 AM,10:30 AM,10.5,M W F,HLL6,HLL,6
4,359,CHEM,H,1,2,E,11-04-13,11-04-13,,1,107,11:30:00 AM,11:30 AM,11.50,12:30:00 PM,12:30 PM,12.5,M W F,LNKL205,LNKL,205
4,313,PSYC,H,1,3,E,11-05-13,11-05-13,,1,27,8:30:00 AM, 8:30 AM,8.50,10:00:00 AM,10:00 AM,10,T H,SHA410,SHA,410
4,15,ECON,H,1,2,D,11-05-13,11-05-13,1/21/14,1,22,10:00:00 AM,10:00 AM,10.00,11:30:00 AM,11:30 AM,11.5,T H,STO16,STO,16
4,478,MATH,H,2,1,E,11-04-13,11-04-13,,1,33,10:30:00 AM,10:30 AM,10.50,11:30:00 AM,11:30 AM,11.5,M W F,STOAUD,STO,AUD
4,359,CHEM,H,1,00B,E,11-04-13,11-04-13,,0,190,1:00:00 PM, 1:00 PM,13.00,4:00:00 PM, 4:00 PM,16,W,,,
5,709,PHYS,H,1,2,E,11-05-13,11-05-13,,1,56,11:30:00 AM,11:30 AM,11.50,12:30:00 PM,12:30 PM,12.5,M W F,ESTW309,ESTW,309
5,709,PHYS,H,1,00C,E,11-05-13,11-05-13,,0,,1:15:00 PM, 1:15 PM,13.25,4:00:00 PM, 4:00 PM,16,F,HLS105,HLS,105
5,590,ASTR,H,1,1,E,11-05-13,11-05-13,,0.5,39,7:30:00 PM, 7:30 PM,19.50,10:00:00 PM,10:00 PM,22,M,OBS,OBS,
5,632,MATH,H,1,1,E,11-05-13,11-05-13,,1,134,10:30:00 AM,10:30 AM,10.50,11:30:00 AM,11:30 AM,11.5,M W F,SHAAUD,SHA,AUD
5,374,ITAL,H,0,1,D,11-05-13,11-05-13,02-01-14,1,168,8:30:00 AM, 8:30 AM,8.50,9:30:00 AM, 9:30 AM,9.5,M T W H F,STO16,STO,16
5,374,ITAL,H,0,2,E,02-03-14,02-03-14,,1,168,9:30:00 AM, 9:30 AM,9.50,10:30:00 AM,10:30 AM,10.5,M W F,STO301,STO,301
5,353,PSYC,B,2,1,E,11-05-13,11-05-13,,1,92,11:25:00 AM,11:25 AM,11.42,12:45:00 PM,12:45 PM,12.8,T H,TH110,TH,110
6,191,PSYC,B,2,1,D,1/21/14,1/21/14,1/26/14,1,158,12:55:00 PM,12:55 PM,12.92,2:15:00 PM, 2:15 PM,14.3,T H,CARP21,CARP,21
6,659,EDUC,H,2,1,D,1/22/14,1/22/14,1/28/14,1,180,1:00:00 PM, 1:00 PM,13.00,2:30:00 PM, 2:30 PM,14.5,M W,CHS101,CHS,101
6,15,ECON,H,1,1,E,1/28/14,1/28/14,,1,163,11:30:00 AM,11:30 AM,11.50,1:00:00 PM, 1:00 PM,13,M W,CHS104,CHS,104
6,412,BIOL,H,2,1,E,1/24/14,1/24/14,,1,27,2:30:00 PM, 2:30 PM,14.50,4:00:00 PM, 4:00 PM,16,T H,SHA410,SHA,410
6,106,PSYC,H,2,1,D,11-05-13,11-05-13,1/21/14,1,188,2:30:00 PM, 2:30 PM,14.50,4:00:00 PM, 4:00 PM,16,M W,SHA410,SHA,410
