Students	1177
1175	590 484 709 709 336 
1183	399 709 709 172 372 460 
1144	128 116 573 51 655 63 
1162	281 709 172 709 372 313 
1145	359 359 687 204 268 45 
344	113 691 40 24 
345	94 504 606 155 
346	150 321 309 442 406 528 
347	412 128 133 11 
340	466 500 322 168 322 
341	213 466 528 
342	460 632 58 251 
343	651 548 547 585 651 64 
810	547 64 729 548 62 729 
811	451 270 489 247 
812	448 239 197 
813	478 321 714 21 313 
348	235 311 350 267 
349	440 228 163 253 
816	91 723 422 50 573 
817	606 648 375 98 
595	426 28 111 58 
1149	319 644 462 662 
719	506 741 447 364 
718	370 254 134 45 
717	479 545 370 376 
716	267 563 652 15 
715	244 374 711 7 
714	549 171 282 22 546 
713	359 701 359 127 341 
712	62 268 69 204 135 
711	394 290 214 71 258 
710	62 412 651 651 
915	52 344 209 679 
1103	231 372 546 709 709 563 
606	385 684 374 704 
917	296 91 24 388 
594	209 439 337 359 359 
736	448 29 714 
916	545 642 328 571 
1182	321 97 665 528 
1061	612 202 52 514 
911	239 328 585 295 332 
1063	217 133 69 63 
1062	155 628 84 58 
1065	535 514 
1064	618 121 546 632 
619	432 45 11 
910	442 328 585 98 199 
913	103 573 660 655 654 
298	651 651 443 640 731 
299	651 651 611 535 
296	96 73 359 359 313 
297	455 399 374 439 
294	65 290 724 454 488 
295	552 275 462 239 
292	211 419 436 411 188 318 
293	333 333 322 359 322 359 514 
290	352 172 209 192 
291	377 271 585 327 
591	309 209 325 313 
590	359 359 355 115 217 
593	737 737 322 193 204 322 
592	180 711 478 590 709 709 
199	202 618 457 359 359 
198	29 113 62 
597	651 619 651 619 712 40 
596	506 513 625 94 
195	651 651 737 45 737 692 
194	731 395 488 
197	132 295 26 675 
196	344 333 298 333 79 631 709 709 
191	297 476 585 386 297 
190	115 386 172 91 
193	120 651 651 50 282 22 
192	209 615 459 457 
270	618 493 514 21 
271	179 462 528 87 
272	747 459 127 29 
273	26 111 192 675 
274	18 375 239 155 
275	65 478 454 238 492 717 
276	540 458 360 488 
277	615 332 71 18 258 
278	15 407 75 652 
