Students	100
1	49311 6286 48527 79930
2	46154 74326 52117 104
3	64243 75105 79797 33200
4	55592 67077 6805 14755
5	5004 42480 9309 62034
6	62823 56247 3634 74615
7	47445 34849 28506 28746
8	62427 1980 32704 63208
9	60678 54745 6752 67883
10	59418 47666 51653 54913
11	48647 37894 37619 62110
12	58657 65074 20199 31551
13	5394 61288 40148 41409
14	34639 74479 48240 61007
15	26319 53217 19471 78611
16	79601 78170 66651 46113
17	69625 79100 26290 77801
18	51071 74794 6218 11769
19	76643 72383 32241 8150
20	45704 3708 28997 50546
21	36653 67637 58293 24225
22	74448 62573 57702 51791
23	21291 13390 35886 14879
24	44783 8140 52561 76504
25	55563 15110 5589 76311
26	48976 9263 71397 70032
27	56970 24164 45659 10902
28	13008 12835 37535 46893
29	1162 66439 12920 11972
30	19029 47494 51455 56802
31	42040 14740 11019 45593
32	74893 26570 55926 28238
33	6127 51929 36122 4115
34	47531 20885 60722 25660
35	55523 67202 47753 2093
36	22639 13676 71795 28743
37	10697 35745 12529 53800
38	21329 64032 31169 6775
39	3806 32451 71113 12529
40	35128 71886 57589 58604
41	35223 3229 43809 65421
42	13885 76745 4333 78326
43	70361 2849 57791 63542
44	36878 33969 19390 69128
45	20884 26146 69026 45470
46	55579 56583 4568 22494
47	63793 9815 24540 3671
48	77283 27191 23881 47239
49	23890 24890 45766 6430
50	21960 73765 47940 52607
51	59517 35425 31249 64158
52	50443 24680 19857 1912
53	48470 26747 77121 57383
54	50229 52506 9546 78012
55	30395 7089 56286 24746
56	55889 42754 67074 79114
57	23976 79249 22353 62883
58	74293 22845 52106 33226
59	21628 24357 11939 56013
60	536 18273 5268 21805
61	51401 37697 69041 31654
62	48688 7037 18607 57927
63	45228 46922 27730 49827
64	22156 20073 16143 11570
65	24625 25913 4540 16682
66	51684 4552 51838 54364
67	9375 52885 29458 29466
68	54694 28554 31147 68435
69	71715 69280 64545 8263
70	37889 79764 3613 8723
71	17975 16337 61749 10984
72	75738 57483 37845 5433
73	1572 59136 16588 1563
74	70663 16380 16494 3033
75	35733 33326 21942 27359
76	36455 52063 77705 34488
77	41251 27580 36267 40260
78	44652 22670 40843 64170
79	14047 65277 53128 7016
80	14303 57344 28108 60173
81	49261 11757 74036 57831
82	8761 71574 69995 16506
83	73041 68905 64133 18267
84	28837 51038 1387 37905
85	10162 6690 30354 78035
86	59867 39731 16372 4792
87	35052 21718 64287 51234
88	20918 54781 53730 33143
89	75764 45698 37009 76168
90	77602 29509 11360 53815
91	24874 12141 60763 48822
92	35633 37939 76726 78147
93	38249 67501 2434 22649
94	70493 38084 11748 11397
95	32081 23341 46319 38306
96	29249 27986 44397 22867
97	60521 49029 78827 10492
98	3803 77640 15547 41312
99	30735 19809 65247 75084
100	20509 61537 8514 76516
